订单号,产品类别,产品名称,销售数量,单价,客户所在城市,支付方式,订单日期
127824235,家居用品,水杯,5,129,武汉,支付宝,2025-12-06
932111777,食品,薯片,9,69,深圳,银行卡,2025-11-23
231680929,食品,坚果,5,199,大连,微信支付,2025-10-28
817087513,电子产品,键盘,8,299,广州,银行卡,2025-11-23
864299201,电子产品,智能手表,5,4999,重庆,微信支付,2025-12-23
950474042,服装,袜子,4,699,深圳,微信支付,2025-10-08
601873197,食品,牛奶,9,49,合肥,银行卡,2025-12-05
664461415,图书,教材,5,25,长沙,花呗,2025-11-25
583156434,食品,矿泉水,3,9,苏州,支付宝,2025-11-22
924399252,图书,绘本,9,35,合肥,微信支付,2025-10-14
276799196,图书,小说,9,25,杭州,银行卡,2025-10-11
310777576,服装,袜子,5,699,广州,银行卡,2025-12-18
639633807,家居用品,被子,10,89,福州,支付宝,2025-12-06
462516271,图书,考试资料,3,35,济南,京东白条,2025-12-02
923515952,电子产品,笔记本电脑,10,99,西安,微信支付,2025-12-14
618558050,图书,小说,9,129,重庆,银行卡,2025-10-26
572022811,食品,方便面,2,89,上海,微信支付,2025-11-16
871336275,食品,坚果,10,49,杭州,银行卡,2025-11-24
214014134,家居用品,水杯,6,39,厦门,京东白条,2025-11-08
203950725,食品,面包,8,39,武汉,微信支付,2025-10-10
720286733,食品,矿泉水,4,69,南京,银行卡,2025-12-11
431292818,服装,连衣裙,9,499,青岛,花呗,2025-11-01
726360971,电子产品,鼠标,8,4999,武汉,微信支付,2025-11-02
676267306,电子产品,充电宝,10,2999,大连,银行卡,2025-10-28
492922240,电子产品,鼠标,5,299,天津,花呗,2025-10-13
409883716,电子产品,钢化膜,4,4999,天津,京东白条,2025-10-13
227572362,图书,历史书,5,159,济南,京东白条,2025-10-04
313736772,食品,咖啡,9,49,天津,微信支付,2025-12-17
866213410,食品,薯片,1,5,上海,微信支付,2025-11-26
250088694,食品,薯片,3,89,济南,京东白条,2025-11-20
461178244,家居用品,被子,10,199,重庆,京东白条,2025-12-27
975903641,图书,科普书,10,129,重庆,花呗,2025-10-12
740926818,家居用品,枕头,10,199,重庆,支付宝,2025-11-09
283085932,图书,考试资料,1,45,合肥,花呗,2025-12-21
852178601,图书,传记,4,35,上海,京东白条,2025-10-07
841419015,电子产品,键盘,7,899,杭州,花呗,2025-10-14
322631460,图书,考试资料,1,129,杭州,京东白条,2025-12-11
672440825,食品,薯片,6,69,南京,花呗,2025-11-18
399580835,家居用品,收纳箱,8,599,成都,微信支付,2025-12-10
615185000,服装,运动鞋,4,199,大连,银行卡,2025-11-18
523625992,家居用品,收纳箱,10,29,福州,花呗,2025-11-25
574997731,服装,运动鞋,5,39,广州,银行卡,2025-12-09
847508242,食品,坚果,9,25,西安,京东白条,2025-11-05
819228743,电子产品,钢化膜,4,5999,武汉,支付宝,2025-12-08
207959268,服装,T恤,7,59,苏州,花呗,2025-12-25
612656440,服装,T恤,3,699,郑州,花呗,2025-12-07
349344539,家居用品,晾衣架,1,89,广州,京东白条,2025-12-24
946066287,电子产品,平板电脑,3,1299,上海,花呗,2025-11-06
215213239,家居用品,床垫,5,19,合肥,京东白条,2025-11-10
602533479,食品,薯片,8,129,杭州,京东白条,2025-11-07
115122787,电子产品,数据线,8,299,西安,微信支付,2025-12-11
987973565,家居用品,地毯,3,59,济南,花呗,2025-11-17
612662437,家居用品,枕头,2,199,南京,微信支付,2025-11-08
453932473,电子产品,充电宝,4,1299,青岛,银行卡,2025-11-19
817029885,图书,小说,6,59,武汉,支付宝,2025-10-15
785811060,家居用品,被子,9,199,重庆,支付宝,2025-11-12
588529624,图书,漫画,3,45,大连,微信支付,2025-12-20
918040539,家居用品,水杯,8,399,福州,微信支付,2025-10-22
183862154,图书,教材,8,159,厦门,银行卡,2025-12-04
260902774,电子产品,智能手表,4,4999,合肥,京东白条,2025-10-11
197647841,图书,历史书,4,25,合肥,花呗,2025-12-15
705495031,电子产品,键盘,9,299,郑州,花呗,2025-10-18
900801470,食品,方便面,7,5,西安,支付宝,2025-10-19
164698991,电子产品,手机,6,1299,广州,京东白条,2025-10-16
502074351,电子产品,充电宝,3,1299,杭州,花呗,2025-11-15
227381397,食品,茶叶,9,9,杭州,银行卡,2025-10-18
420364823,食品,薯片,4,15,北京,支付宝,2025-11-22
594592624,图书,传记,7,159,武汉,微信支付,2025-11-05
922543647,家居用品,台灯,1,29,郑州,京东白条,2025-10-08
741866641,服装,牛仔裤,10,59,上海,花呗,2025-12-23
679562681,电子产品,耳机,7,99,青岛,微信支付,2025-10-25
442420233,电子产品,平板电脑,5,4999,武汉,京东白条,2025-12-20
544056890,家居用品,台灯,3,89,厦门,微信支付,2025-11-09
632168774,电子产品,智能手表,3,5999,郑州,京东白条,2025-10-12
422002819,食品,薯片,7,49,郑州,微信支付,2025-11-06
965195567,图书,历史书,4,45,重庆,微信支付,2025-11-02
517061783,图书,传记,9,99,厦门,微信支付,2025-10-09
675134276,服装,袜子,8,59,天津,支付宝,2025-12-27
142463863,服装,T恤,7,199,济南,京东白条,2025-10-07
425545658,图书,科普书,8,45,成都,银行卡,2025-10-07
525880424,服装,牛仔裤,4,499,济南,微信支付,2025-10-18
431165907,家居用品,收纳箱,8,199,福州,银行卡,2025-11-12
318106480,图书,历史书,2,129,大连,银行卡,2025-11-11
380004069,食品,牛奶,4,199,杭州,支付宝,2025-12-19
346980616,图书,传记,3,59,成都,银行卡,2025-11-19
876914430,服装,围巾,6,699,西安,花呗,2025-12-24
873430762,食品,巧克力,6,15,南京,微信支付,2025-12-16
978316418,服装,西装裤,9,39,上海,支付宝,2025-12-02
109815572,电子产品,鼠标,4,299,广州,微信支付,2025-10-17
807901168,食品,咖啡,10,5,济南,花呗,2025-11-01
668457864,电子产品,智能手表,7,4999,北京,支付宝,2025-12-09
214908010,图书,工具书,9,15,郑州,微信支付,2025-10-17
975329786,服装,外套,10,129,厦门,银行卡,2025-11-09
361142486,食品,面包,7,49,青岛,京东白条,2025-12-08
504982743,家居用品,枕头,2,19,长沙,花呗,2025-12-16
792463878,电子产品,手机,2,299,大连,花呗,2025-11-19
610564546,电子产品,智能手表,4,99,成都,京东白条,2025-11-02
437675369,电子产品,充电宝,10,4999,上海,微信支付,2025-10-07
705545509,图书,杂志,2,99,重庆,微信支付,2025-10-19
637722224,食品,薯片,7,49,杭州,支付宝,2025-12-12
749794986,电子产品,笔记本电脑,4,1299,广州,银行卡,2025-12-20
344961731,食品,咖啡,5,5,青岛,花呗,2025-11-18
929108437,食品,茶叶,10,15,长沙,支付宝,2025-12-10
864157523,服装,牛仔裤,5,59,杭州,花呗,2025-12-05
430999662,食品,咖啡,2,49,广州,支付宝,2025-11-12
581942228,家居用品,枕头,2,39,南京,花呗,2025-12-18
695088987,图书,传记,1,25,广州,银行卡,2025-10-20
516396603,图书,绘本,1,99,重庆,花呗,2025-10-24
282001119,图书,漫画,9,199,南京,花呗,2025-10-09
566730092,家居用品,收纳箱,3,299,广州,微信支付,2025-11-14
874059895,家居用品,毛巾,6,29,西安,微信支付,2025-12-16
427124037,图书,考试资料,8,45,深圳,微信支付,2025-10-13
562370643,家居用品,地毯,6,199,青岛,银行卡,2025-12-20
437351729,服装,运动鞋,10,299,成都,花呗,2025-10-13
503786306,家居用品,收纳箱,10,299,武汉,银行卡,2025-11-27
685864775,食品,咖啡,10,9,成都,京东白条,2025-10-22
992582047,图书,小说,4,129,青岛,银行卡,2025-12-03
807233980,食品,巧克力,5,15,武汉,银行卡,2025-10-23
725179752,食品,茶叶,8,9,济南,花呗,2025-11-18
737609304,图书,传记,1,159,天津,京东白条,2025-12-03
704753177,电子产品,耳机,3,899,济南,支付宝,2025-12-22
377818215,食品,咖啡,2,69,北京,支付宝,2025-10-17
501707828,图书,科普书,10,199,武汉,花呗,2025-11-15
212259020,图书,科普书,6,35,北京,花呗,2025-11-14
588909690,电子产品,笔记本电脑,6,299,重庆,银行卡,2025-10-17
442426442,食品,咖啡,2,89,青岛,花呗,2025-10-10
895094534,电子产品,笔记本电脑,6,99,深圳,微信支付,2025-10-17
596126873,服装,西装裤,6,89,福州,花呗,2025-10-26
891764728,食品,饼干,7,15,长沙,支付宝,2025-12-07
320959407,食品,矿泉水,7,69,北京,微信支付,2025-11-25
450023635,电子产品,钢化膜,9,199,南京,银行卡,2025-10-15
517298229,电子产品,充电宝,9,2999,苏州,京东白条,2025-12-13
285250002,图书,教材,6,79,青岛,京东白条,2025-12-23
226552991,家居用品,地毯,2,599,杭州,银行卡,2025-10-10
549080818,电子产品,平板电脑,3,899,厦门,花呗,2025-12-05
844567935,图书,传记,3,99,大连,京东白条,2025-12-06
437777716,图书,杂志,5,129,杭州,微信支付,2025-11-20
975331448,电子产品,数据线,8,99,杭州,微信支付,2025-11-18
624737111,图书,历史书,8,99,郑州,花呗,2025-10-03
341423782,图书,小说,5,45,上海,银行卡,2025-12-10
221559383,服装,围巾,8,899,福州,京东白条,2025-12-04
686642360,家居用品,拖鞋,9,129,上海,花呗,2025-10-14
474281674,电子产品,耳机,1,499,青岛,银行卡,2025-10-15
779432289,电子产品,耳机,10,399,天津,京东白条,2025-11-06
476685251,图书,杂志,4,45,上海,京东白条,2025-12-09
714970148,图书,科普书,6,35,重庆,银行卡,2025-11-28
804263267,图书,教材,7,35,上海,银行卡,2025-10-23
625552311,服装,外套,6,89,武汉,花呗,2025-10-19
532557724,家居用品,水杯,8,199,广州,支付宝,2025-12-24
102655449,家居用品,晾衣架,8,299,苏州,京东白条,2025-12-03
561325766,食品,咖啡,9,9,长沙,微信支付,2025-10-16
240224505,家居用品,晾衣架,6,89,福州,京东白条,2025-12-28
117481970,食品,咖啡,1,5,深圳,花呗,2025-10-28
839369897,服装,围巾,1,499,郑州,微信支付,2025-10-21
188498371,家居用品,被子,2,89,天津,银行卡,2025-11-22
803821904,服装,T恤,5,399,武汉,花呗,2025-10-23
737458510,电子产品,手机,8,399,广州,微信支付,2025-10-17
845210115,食品,牛奶,6,5,深圳,花呗,2025-10-16
436458586,电子产品,耳机,2,1299,深圳,支付宝,2025-11-10
704829337,服装,帽子,3,89,广州,京东白条,2025-10-20
761506578,服装,围巾,4,299,杭州,花呗,2025-12-15
883841357,服装,牛仔裤,3,59,深圳,京东白条,2025-11-12
366467312,食品,咖啡,4,15,西安,支付宝,2025-12-20
655928892,图书,考试资料,1,59,重庆,微信支付,2025-12-17
514341484,服装,帽子,1,199,武汉,花呗,2025-10-08
439809925,食品,矿泉水,9,9,北京,银行卡,2025-10-13
927175323,图书,传记,9,79,南京,花呗,2025-10-01
164927936,图书,教材,5,15,成都,支付宝,2025-11-17
787771674,家居用品,拖鞋,7,199,长沙,支付宝,2025-12-18
649009234,图书,杂志,2,59,重庆,支付宝,2025-10-26
433041955,服装,西装裤,7,299,合肥,支付宝,2025-12-14
586804311,服装,T恤,2,129,郑州,支付宝,2025-12-20
853229478,电子产品,充电宝,2,299,北京,微信支付,2025-10-06
499291766,食品,咖啡,9,129,西安,微信支付,2025-10-24
662484182,家居用品,枕头,6,19,郑州,银行卡,2025-10-09
159527291,图书,教材,8,129,厦门,银行卡,2025-11-28
716233644,图书,杂志,3,79,西安,支付宝,2025-12-24
362585121,电子产品,耳机,1,4999,上海,支付宝,2025-10-16
962338680,家居用品,水杯,3,39,上海,京东白条,2025-12-24
391261014,食品,坚果,4,49,郑州,银行卡,2025-10-19
963651372,家居用品,枕头,1,399,南京,微信支付,2025-12-02
192755745,食品,面包,5,89,重庆,银行卡,2025-12-15
894113665,电子产品,数据线,5,399,合肥,银行卡,2025-12-08
916561565,食品,咖啡,8,199,成都,京东白条,2025-10-05
782837348,电子产品,鼠标,4,99,福州,银行卡,2025-12-01
668883968,家居用品,床垫,5,199,深圳,微信支付,2025-10-14
348541776,食品,牛奶,5,15,广州,支付宝,2025-12-14
243359401,家居用品,毛巾,10,29,深圳,京东白条,2025-12-27
811293744,食品,面包,10,199,上海,花呗,2025-10-08
586145040,家居用品,收纳箱,7,129,苏州,银行卡,2025-11-08
213449146,电子产品,耳机,10,299,深圳,微信支付,2025-10-15
927142786,食品,咖啡,2,69,福州,银行卡,2025-10-15
967150570,家居用品,毛巾,2,89,广州,微信支付,2025-12-10
863599447,图书,小说,6,45,杭州,支付宝,2025-10-12
133374137,食品,薯片,5,5,西安,微信支付,2025-11-28
209422179,食品,薯片,4,129,深圳,花呗,2025-10-04
499689381,电子产品,手机,3,399,成都,花呗,2025-12-21
169226321,电子产品,钢化膜,5,5999,广州,支付宝,2025-10-21
594989531,食品,饼干,6,9,深圳,支付宝,2025-10-06
833594284,图书,传记,8,99,北京,花呗,2025-11-06
259591761,家居用品,台灯,5,39,西安,花呗,2025-10-20
691297450,图书,考试资料,5,45,大连,花呗,2025-11-02
790042893,电子产品,充电宝,3,1299,郑州,微信支付,2025-12-08
939059557,图书,小说,6,99,大连,京东白条,2025-11-12
127984900,图书,科普书,7,79,西安,微信支付,2025-11-20
483790644,服装,T恤,1,199,大连,京东白条,2025-12-08
976479512,服装,牛仔裤,4,129,西安,京东白条,2025-12-02
353994846,服装,手套,6,399,南京,微信支付,2025-12-11
252581172,家居用品,地毯,6,19,合肥,京东白条,2025-12-07
196913120,食品,薯片,3,39,大连,支付宝,2025-10-08
456196659,图书,漫画,9,15,大连,支付宝,2025-12-07
